rowlabel	sex	age	livharm1	ethgrp2	educat3	work	yrsarea	resyrago	tenure1	rural2	rubbcomm	vandcomm	poorhou	tcemdiqu2	tcwmdiqu2	causem	walkdark	walkday	homealon	tcviolent	tcsteal	wburgl	wmugged	wcarstol	wfromcar	wraped	wattack	winsult	wraceatt	crimerat	tcarea	tcneigh	bcsvictim	tcindwt
72079100	2	60	6	1	1	2	7	 	1	2	4	4	4		1	5	2	2	3	-0.21768643	0.397081792	1	3	3	3	4	3	2	4	2	-1.089523315	0.308220893	0	0.190333322
72079220	2	49	1	1	4	1	5	2	1	2	3	4	4		1	5	2	1	2	-0.317973495	-1.646916866	4	4	4	4	4	4	2	4	3	0.741529703	0.78041476	0	0.372388452
72079260	1	48	1	1	3	2	7	 	4	2	4	4	4		1	4	2	1	1	-1.148230076	-0.011890466	3	3	3	3	4	4	4	4	3	-1.127095461	-0.387942374	0	0.40675959
72079300	1	37	2	1	4	1	3	 	4	2	3	4	3		1	2	1	1	1	-0.900425076	-1.544810176	4	4	4	4	4	4	4	4	 	-0.653382659	1.098185301	0	0.667518556
73092020	2	68	5	1	3	2	6	 	1	1	4	4	4		1	8	3	2	2	 	 	2	3	 	 	2	3	2	2	2	-1.261035204	-0.430027872	0	0.240906224
73092220	2	36	3	1	4	1	7	 	3	1	4	3	4		1	4	1	1	1	0.037585977	0.049193799	2	2	4	2	3	3	3	4	1	0.654109478	-0.832952499	1	0.529004812
73092260	1	45	2	1	2	2	2	1	3	1	2	3	2		1	6	4	2	1	1.233368516	1.664635658	2	2	1	1	4	1	1	1	 	2.496677399	1.138963699	1	0.825089395
73094260	2	52	1	1	5	2	4	1	2	1	3	4	4		1	4	2	1	1	0.189188898	-1.284971833	3	2	4	4	4	3	3	4	3	-0.400622517	-0.632947147	0	0.436403632
73189260	1	27	2	5	2	1	7	 	4	2	2	2	2		1	4	1	1	1	-0.900425076	-1.544810176	4	4	4	4	4	4	4	4	1	-0.166352659	-0.598755419	0	0.622135222
73193060	2	16	3	1	2	1	7	2	4	1	4	4	4		1	5	3	2	2	 	 	3	2	 	 	3	2	3	3	1	3.095350742	2.221952677	0	2.3485744
73193100	1	76	6	1	4	2	6	 	1	1	4	4	4		1	1	2	1	1	-0.857004225	-0.062943779	3	3	3	3	4	4	3	4	5	0.95663178	-0.322990328	0	0.451197594
73193220	2	57	6	1	1	2	7	 	4	1	3	3	3		1	3	2	1	1	0.873140752	2.032415867	1	2	1	1	2	1	2	3	4	0.363868386	-0.692108274	0	1.474319339
73193260	2	60	6	1	1	2	7	 	2	1	4	4	4		1	4	3	2	2	0.566232145	0.004400334	3	2	2	3	3	3	2	3	2	1.396331191	0.317377001	0	0.938865244
73193300	2	27	2	1	4	1	7	 	2	1	4	4	4		1	10	3	2	3	0.603200734	0.844818294	2	2	2	2	2	2	2	4	2	1.459841967	2.17941761	0	1.152084112
73194060	1	36	1	1	1	1	6	 	2	1	4	4	4		1	3	1	1	1	-1.396034956	1.521029234	2	2	2	2	4	4	4	4	3	2.16955781	1.015734434	0	1.092791677
73194140	2	41	5	1	1	1	6	 	2	1	4	4	4		1	2	3	1	3	1.112842202	-1.174390554	2	2	4	4	4	2	1	4	2	-0.695773065	-0.50530839	0	0.470703959
73194180	2	37	1	1	3	1	4	 	2	1	4	4	4		1	4	3	1	2	-0.254168481	2.231594324	2	2	1	1	3	2	2	4	1	2.440538645	1.929795623	0	0.960622847
73194260	1	22	2	1	2	1	1	2	4	1	4	4	4		1	5	2	1	1	 	 	3	3	 	 	4	3	3	3	 	1.724885345	-0.315808147	0	1.179500699
73194300	1	51	1	1	3	1	7	 	2	1	4	4	4		1	6	1	1	1	1.950474024	1.569496274	1	2	1	1	1	1	1	2	4	0.656193852	1.452618957	0	0.971183956
73289140	2	17	3	1	1	2	6	 	4	1	 	 	 		1	6	2	1	2	 	 	3	4	 	 	3	3	2	4	2	1.957596064	-0.542872071	0	1.068008304
73289300	2	61	1	1	1	1	5	 	1	1	 	 	 		1	5	4	2	1	-1.365231514	0.554974496	3	3	2	3	4	4	4	4	4	0.416736752	-0.767104626	1	0.42694664
73290260	2	21	3	1	4	1	6	1	5	2	4	4	4		1	1	3	3	1	0.446121573	0.479302496	2	2	3	2	3	2	2	4	3	1.701998711	-0.300109088	0	1.731328607
73291020	1	46	1	1	1	1	7	 	1	1	3	4	4		1	4	1	1	1	-1.617737889	1.770318389	1	3	2	2	4	4	4	4	4	1.724871635	-1.323300242	0	1.930109262
73291180	2	37	1	1	2	1	2	1	2	1	3	4	4		1	7	3	2	4	1.24722147	1.831066728	1	2	1	1	1	1	2	3	 	1.922691107	2.070342302	1	0.96321851
73291260	2	19	3	1	2	2	6	2	4	1	4	4	4		1	1	1	1	2	 	 	2	2	 	 	2	2	3	4	4	0.14147982	1.610610723	0	0.564806819
73291300	2	33	3	1	2	1	7	 	2	1	4	4	4		1	4	2	1	1	0.411137968	1.979191899	2	2	1	1	2	2	1	4	3	1.980756402	-1.357625008	0	0.490589321
