LSOAcode,burglary_count,LAname,IMDscore,IMDrank,IMDdeci,incscore
E01004766,27,Bolton,30.687,7694,3,0.18
E01004767,33,Bolton,24.997,10776,4,0.134
E01004768,11,Bolton,7.028,28288,9,0.036
E01004769,10,Bolton,10.019,24505,8,0.043
E01004770,13,Bolton,11.437,22815,7,0.059
E01004771,21,Bolton,5.833,29639,10,0.034
E01004772,8,Bolton,34.074,6242,2,0.233
E01004773,25,Bolton,13.745,20211,7,0.098
E01004774,14,Bolton,31.354,7377,3,0.2
E01004775,30,Bolton,12.812,21251,7,0.05
E01004776,21,Bolton,22.479,12402,4,0.129
E01004777,13,Bolton,31.728,7187,3,0.185
E01004778,9,Bolton,8.945,25859,8,0.06
E01004779,10,Bolton,19.636,14679,5,0.131
E01004780,22,Bolton,9.426,25234,8,0.058
E01004781,32,Bolton,12.787,21281,7,0.081
E01004782,14,Bolton,24.964,10788,4,0.153
E01004783,11,Bolton,14.407,19530,6,0.082
E01004784,11,Bolton,8.416,26540,9,0.037
E01004785,18,Bolton,25.123,10688,4,0.151
E01004786,11,Bolton,13.546,20437,7,0.074
E01004787,23,Bolton,67.018,401,1,0.435
E01004788,14,Bolton,6.331,29064,9,0.036
E01004789,12,Bolton,8.413,26544,9,0.036
E01004790,19,Bolton,15.653,18283,6,0.074
E01004791,9,Bolton,9.547,25063,8,0.068
E01004792,13,Bolton,5.601,29903,10,0.027
E01004793,12,Bolton,50.299,2135,1,0.291
E01004794,15,Bolton,63.88,599,1,0.433
E01004795,23,Bolton,45.227,3014,1,0.231
E01004796,30,Bolton,29.999,8023,3,0.133
E01004797,11,Bolton,53.253,1684,1,0.315
E01004798,22,Bolton,38.934,4592,2,0.192
E01004799,5,Bolton,12.804,21263,7,0.075
E01004800,8,Bolton,14.858,19060,6,0.066
E01004801,15,Bolton,61.511,786,1,0.369
E01004802,13,Bolton,59.1,996,1,0.403
E01004803,17,Bolton,6.094,29345,9,0.036
E01004804,21,Bolton,4.181,31328,10,0.027
E01004805,6,Bolton,5.801,29671,10,0.045
E01004806,18,Bolton,7.755,27358,9,0.051
E01004807,6,Bolton,6.603,28777,9,0.041
E01004808,14,Bolton,4.565,30937,10,0.031
E01004809,19,Bolton,20.899,13632,5,0.123
E01004810,17,Bolton,7.551,27629,9,0.053
E01004811,44,Bolton,55.169,1441,1,0.316
E01004812,26,Bolton,44.707,3116,1,0.276
E01004813,24,Bolton,40.255,4195,2,0.273
