lad11cd,Heavy Metal,Jedi
E06000001,5,198
E06000002,10,331
E06000003,3,320
E06000004,15,472
E06000005,9,301
E06000006,21,350
E06000007,52,545
E06000008,14,243
E06000009,11,474
E06000010,41,935
E06000011,24,864
E06000012,18,624
E06000013,15,431
E06000014,33,750
E06000015,39,779
E06000016,36,778
E06000017,0,119
E06000018,57,1231
E06000019,14,512
E06000020,25,501
E06000021,22,581
E06000022,17,742
E06000023,61,2310
E06000024,24,821
E06000025,42,872
E06000026,48,1229
E06000027,8,500
E06000028,24,1067
E06000029,20,630
E06000030,13,788
E06000031,9,465
E06000032,7,360
E06000033,25,840
E06000034,12,484
E06000035,27,1068
E06000036,4,527
E06000037,18,642
E06000038,28,648
E06000039,9,281
E06000040,21,487
E06000041,12,609
E06000042,19,1103
E06000043,88,2636
E06000044,40,1195
E06000045,57,1388
E06000046,17,766
E06000047,34,1248
E06000048,23,739
E06000049,38,1033
E06000050,47,949
E06000051,27,878
E06000054,53,1795
E06000055,12,512
E06000056,41,932
E07000004,4,645
E07000005,18,263
E07000006,10,159
E07000007,21,637
E07000008,19,582
E07000009,12,291
E07000010,11,291
E07000011,24,669
E07000012,12,563
E07000026,19,189
E07000027,3,192
E07000028,28,341
E07000029,20,162
E07000030,6,146
E07000031,4,258
E07000032,15,356
E07000033,5,188
E07000034,18,252
E07000035,3,203
E07000036,14,372
E07000037,22,307
E07000038,5,250
E07000039,10,268
E07000040,14,399
E07000041,26,547
E07000042,18,307
E07000043,5,349
E07000044,9,297
E07000045,6,478
E07000046,1,276
E07000047,3,203
E07000048,1,154
E07000049,2,276
E07000050,7,251
E07000051,3,175
E07000052,7,344
E07000053,0,273
E07000061,5,406
E07000062,17,522
E07000063,4,503
E07000064,8,307
E07000065,10,510
E07000066,10,600
E07000067,16,565
E07000068,4,234
E07000069,7,314
E07000070,12,632
E07000071,40,723
E07000072,4,350
E07000073,7,330
E07000074,2,214
E07000075,8,310
E07000076,6,505
E07000077,2,288
E07000078,10,573
E07000079,7,253
E07000080,4,240
E07000081,16,419
E07000082,10,453
E07000083,2,282
