CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F2383,F2384,F323339,
,,,,,Population (usual residents) : Density (number of persons per Hectare) - Unit : Persons,Population (usual residents) : All usual residents - Unit : Persons,Age : Total\ Age - Population (daytime/workday) [E][N][W] : Workday population - Sex : Total\ Sex - Unit : Persons,
311,E07000214,Surrey Heath,Local Authorities,LA,9.05894,86144,85064,
49237,E01030757,Surrey Heath 002A,Lower Super Output Areas and Data Zones,LSOADZ,17.70926,1591,855,
49238,E01030758,Surrey Heath 002B,Lower Super Output Areas and Data Zones,LSOADZ,3.367167,1181,1710,
49239,E01030759,Surrey Heath 002C,Lower Super Output Areas and Data Zones,LSOADZ,23.49113,1588,1615,
49240,E01030760,Surrey Heath 002D,Lower Super Output Areas and Data Zones,LSOADZ,3.451464,1232,1170,
49241,E01030761,Surrey Heath 006A,Lower Super Output Areas and Data Zones,LSOADZ,7.871144,2072,2176,
49242,E01030762,Surrey Heath 006B,Lower Super Output Areas and Data Zones,LSOADZ,18.4467,1893,1164,
49243,E01030763,Surrey Heath 001A,Lower Super Output Areas and Data Zones,LSOADZ,0.7315813,1175,1372,
49244,E01030764,Surrey Heath 001B,Lower Super Output Areas and Data Zones,LSOADZ,1.854059,1229,1287,
49245,E01030765,Surrey Heath 001C,Lower Super Output Areas and Data Zones,LSOADZ,31.95876,1395,991,
49246,E01030766,Surrey Heath 010A,Lower Super Output Areas and Data Zones,LSOADZ,21.19607,1641,4662,
49247,E01030767,Surrey Heath 010B,Lower Super Output Areas and Data Zones,LSOADZ,51.95388,1622,998,
49248,E01030768,Surrey Heath 010C,Lower Super Output Areas and Data Zones,LSOADZ,24.43503,1384,6866,
49249,E01030769,Surrey Heath 010D,Lower Super Output Areas and Data Zones,LSOADZ,31.5605,1531,1447,
49250,E01030770,Surrey Heath 011A,Lower Super Output Areas and Data Zones,LSOADZ,22.98232,1495,1760,
49251,E01030771,Surrey Heath 011B,Lower Super Output Areas and Data Zones,LSOADZ,46.48609,1270,766,
49252,E01030772,Surrey Heath 011C,Lower Super Output Areas and Data Zones,LSOADZ,22.44444,1515,1523,
49253,E01030773,Surrey Heath 011D,Lower Super Output Areas and Data Zones,LSOADZ,19.28859,1437,862,
49254,E01030774,Surrey Heath 007A,Lower Super Output Areas and Data Zones,LSOADZ,40.5041,1382,917,
49255,E01030775,Surrey Heath 007B,Lower Super Output Areas and Data Zones,LSOADZ,25.39404,1450,1006,
49256,E01030776,Surrey Heath 007C,Lower Super Output Areas and Data Zones,LSOADZ,30.98943,1613,929,
49257,E01030777,Surrey Heath 007D,Lower Super Output Areas and Data Zones,LSOADZ,47.99521,1604,1020,
49258,E01030778,Surrey Heath 003A,Lower Super Output Areas and Data Zones,LSOADZ,40.11461,1820,1123,
49259,E01030779,Surrey Heath 003B,Lower Super Output Areas and Data Zones,LSOADZ,34.47939,1765,1558,
49260,E01030780,Surrey Heath 003C,Lower Super Output Areas and Data Zones,LSOADZ,8.507525,1628,989,
49261,E01030781,Surrey Heath 003D,Lower Super Output Areas and Data Zones,LSOADZ,12.03294,1578,1143,
49262,E01030782,Surrey Heath 012A,Lower Super Output Areas and Data Zones,LSOADZ,19.33464,1575,1044,
49263,E01030783,Surrey Heath 012B,Lower Super Output Areas and Data Zones,LSOADZ,6.688492,1614,1082,
49264,E01030784,Surrey Heath 012C,Lower Super Output Areas and Data Zones,LSOADZ,4.211439,2477,2521,
49265,E01030785,Surrey Heath 012D,Lower Super Output Areas and Data Zones,LSOADZ,13.85403,1435,1108,
49266,E01030786,Surrey Heath 004A,Lower Super Output Areas and Data Zones,LSOADZ,10.65881,1791,1603,
49267,E01030787,Surrey Heath 004B,Lower Super Output Areas and Data Zones,LSOADZ,19.17917,1444,911,
49268,E01030788,Surrey Heath 004C,Lower Super Output Areas and Data Zones,LSOADZ,23.01248,1401,941,
49269,E01030789,Surrey Heath 009A,Lower Super Output Areas and Data Zones,LSOADZ,14.01232,1479,1107,
49270,E01030790,Surrey Heath 009B,Lower Super Output Areas and Data Zones,LSOADZ,41.12397,1705,1051,
49271,E01030791,Surrey Heath 009C,Lower Super Output Areas and Data Zones,LSOADZ,35.84539,1660,1076,
49272,E01030792,Surrey Heath 009D,Lower Super Output Areas and Data Zones,LSOADZ,16.82196,1336,846,
49273,E01030793,Surrey Heath 008A,Lower Super Output Areas and Data Zones,LSOADZ,12.77076,1527,4419,
49274,E01030794,Surrey Heath 008B,Lower Super Output Areas and Data Zones,LSOADZ,54.97076,1598,1442,
49275,E01030795,Surrey Heath 008C,Lower Super Output Areas and Data Zones,LSOADZ,38.91811,2072,2216,
49276,E01030796,Surrey Heath 005A,Lower Super Output Areas and Data Zones,LSOADZ,24.5867,1398,917,
49277,E01030797,Surrey Heath 005B,Lower Super Output Areas and Data Zones,LSOADZ,28.19199,1486,982,
49278,E01030798,Surrey Heath 005C,Lower Super Output Areas and Data Zones,LSOADZ,20.18349,1518,1205,
