rowlabel	sex	age	livharm1	ethgrp2	educat3	work	yrsarea	resyrago	tenure1	rural2	rubbcomm	vandcomm	poorhou	tcemdiqu2	tcwmdiqu2	causem	walkdark	walkday	homealon	tcviolent	tcsteal	wburgl	wmugged	wcarstol	wfromcar	wraped	wattack	winsult	wraceatt	crimerat	tcarea	tcneigh	bcsvictim	tcindwt
61302140	2	36	1	1	1	1	6	 	2	1	 	 	 	1	 	5	4	4	3	 	 	2	3	 	 	3	3	2	3	2	1.11770045757294	2.21278834342957	0	1.76345956325531
61384060	1	44	4	1	3	1	1	2	4	1	3	4	4	3	 	6	3	2	2	-.38927435874939	2.13981056213379	1	1	2	1	4	3	3	3	 	1.7917867898941	-1.02433609962463	0	3.84452676773071
63684260	1	43	1	1	2	1	3	 	2	1	 	 	 	3	 	1	2	2	2	-.320777237415314	.506091952323914	2	3	2	3	4	3	3	3	 	 	 	1	1.47375524044037
63790220	2	27	3	4	3	1	1	2	4	1	2	3	3	1	 	8	2	1	3	.464605122804642	1.60230731964111	1	2	2	1	2	2	3	3	 	.462970495223999	.822929322719574	1	.91006475687027
63843180	1	38	1	1	4	1	6	 	2	2	4	4	4	4	 	8	1	1	1	-.117556318640709	-.657554924488068	4	3	3	3	4	3	3	3	1	.137419387698174	-.780198931694031	1	1.4110848903656
71105020	2	18	3	3	2	1	6	 	4	1	 	 	 	1	 	4	2	1	2	 	 	1	3	 	 	1	2	2	2	2	1.59857201576233	.359292566776276	0	1.76227879524231
71105140	1	65	3	3	4	1	7	 	2	1	 	 	 	2	 	4	4	2	1	 	 	2	1	 	 	4	2	2	3	1	2.50563597679138	-.651117384433746	0	.673847198486328
71106020	1	58	5	1	1	2	7	 	4	1	4	4	4	1	 	1	1	1	1	 	 	4	4	 	 	4	4	4	4	3	-.290004909038544	-.770552337169647	0	.918211698532104
71106060	2	38	3	1	1	2	3	2	4	1	4	4	4	1	 	3	3	2	2	 	 	3	3	3	 	 	3	3	4	 	-2.484219789505	4.56479406356812	0	.824283838272095
71108100	1	29	3	4	4	2	4	 	1	1	2	3	3	1	 	5	1	1	1	 	 	4	4	 	 	4	4	3	4	3	-.966062605381012	-.455875515937805	0	.967207968235016
71110140	1	38	2	1	4	1	4	 	1	1	3	3	3	2	 	5	2	1	1	-.522692859172821	-.148646771907806	3	3	3	3	4	3	3	4	3	-.824653685092926	1.97197067737579	1	3.71632409095764
71110260	1	67	3	1	1	1	6	 	4	1	2	2	2	1	 	5	3	2	2	 	 	3	2	 	 	4	3	3	3	3	-1.08723175525665	-.429561644792557	0	3.04010105133057
71114020	1	21	3	1	3	1	7	 	5	1	3	4	3	4	 	1	3	2	2	1.63736569881439	-.441472083330154	3	2	3	2	2	2	2	2	3	1.09164535999298	-.113453827798367	0	1.78203237056732
71115060	2	37	4	4	2	2	5	 	4	1	2	2	2	1	 	8	4	3	3	 	 	1	1	 	 	3	3	1	4	4	1.43153035640717	-1.01930832862854	0	.858420372009277
71119020	2	23	3	2	4	1	4	 	4	1	 	 	 	1	 	8	2	1	2	-.231467068195343	-.199700072407722	3	3	3	3	4	3	2	4	3	-.529524743556976	-.478827923536301	0	1.0159820318222
71119060	1	57	1	5	5	2	7	 	1	1	 	 	 	1	 	3	2	1	1	1.24455046653748	-1.81297647953033	4	4	4	3	2	2	2	3	4	-1.12901282310486	.251259565353394	0	2.73280835151672
71119140	2	34	3	4	3	2	5	1	4	1	 	 	 	1	 	4	4	2	3	1.06378781795502	2.09068584442139	1	1	1	1	1	1	2	4	3	.0278350152075291	-.907193064689636	0	.864529371261597
71119180	1	55	3	1	4	1	6	 	2	1	 	 	 	1	 	4	2	1	1	 	 	2	2	2	2	 	2	3	3	3	.545685887336731	.0929563567042351	0	1.82187211513519
71119220	2	27	3	1	4	2	3	 	4	1	 	 	 	1	 	2	2	1	1	 	 	2	3	 	 	2	3	2	3	 	 	 	0	1.95257723331451
