 Force , Drug class ,Drug type,Unit,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 police , A ,Cocaine,kg,951,381,408,646,868,528,622,582,696,710,"1,013",678,765,519
 police , A ,Crack,kg,45,34,29,59,36,31,34,47,32,41,38,36,63,50
 police , A ,Ecstasy,dose (000s),"1,816",406,332,167,411,264,337,"1,027",199,259,234,216,345,681
 police , A ,Heroin,kg,473,346,517,687,311,226,307,256,469,274,245,340,266,183
 police , A ,LSD,dose (000s),39,5,19,4,5,5,3,1,3,2,1,2,6,162
 police , A ,Methadone,dose (000s),96,101,205,150,172,85,102,75,60,47,56,53,30,44
 police , A ,Morphine,dose (000s),3,5,3,6,7,39,6,6,5,6,8,9,21,11
 police , B ,Herbal cannabis,kg,"2,731","3,073","4,454","4,697","7,097","4,624","3,875","4,957","4,648","3,361","3,492","3,085","5,046","5,394"
 police , B ,Cannabis resin,kg,"2,305","2,632","6,083","1,410","3,315","3,912","4,162",473,669,689,"1,423",655,457,198
 police , B ,Cannabis plants,plant,"344,360","508,460","643,510","758,943","729,584","639,227","516,661","458,061","366,841","393,700","318,971","354,506","395,831","490,016"
 police , B ,Amphetamines,kg,541,859,754,794,574,522,620,862,573,402,531,699,466,439
 police , B ,Barbiturates,dose (000s),1,2,23,1,0,0,0,0,2,0,0,0,1,11
 police , B ,Ketamine,kg,3,7,27,211,221,12,22,26,2,9,55,132,23,30
 police , C ,Anabolic steroids,dose (000s),85,79,132,141,338,127,100,669,310,545,185,102,217,282
 police , C ,Benzodiazepines,dose (000s),189,111,179,704,785,444,525,359,344,247,567,548,567,856
 police , C ,GHB,kg,9,7,2,4,5,2,1,0,2,1,10,1,1,0
 police , C ,Temazepam,dose (000s),8,13,91,16,9,36,41,7,4,1,1,4,1,3
border, A ,Cocaine,kg,"2,240","3,052","2,508","1,997","1,519","2,933","2,415","2,833","2,691","3,530","4,503","2,660","8,880","3,755"
border, A ,Crack,kg,13,1,4,0,14,4,7,0,0,1,1,22,0,34
border, A ,Ecstasy,dose (000s),"4,795",623,247,55,14,505,297,58,926,543,265,467,"1,904","1,365"
border, A ,Heroin,kg,530,695,"1,035",830,420,"1,623",445,386,645,532,537,154,488,"2,210"
border, A ,LSD,dose (000s),0,0,1,1,1,1,0,4,0,0,1,1,48,16
border, A ,Methadone,dose (000s),0,0,0,0,,,,,0,0,,,0,
border, A ,Morphine,dose (000s),0,0,0,0,0,0,0,1,9,0,0,0,0,1
border, B ,Herbal cannabis,kg,"22,948","16,855","28,908","13,254","13,597","17,702","8,488","13,025","10,458","27,132","8,370","25,585","11,646","15,166"
border, B ,Cannabis resin,kg,"17,416","13,936","25,716","11,153","15,344","15,566","7,165",263,"6,737","6,346","4,414","7,126","4,169",673
border, B ,Cannabis plants,plant,0,0,0,0,0,0,5,1,0,2,17,34,12,238
border, B ,Amphetamines,kg,818,906,"2,185",532,137,540,816,355,39,57,711,894,202,19
border, B ,Barbiturates,dose (000s),310,0,0,0,,,,,,,,,0,
border, B ,Ketamine,kg, * , * , * ,82,581,68,222,334,106,299,198,114,133,37
border, C ,Anabolic steroids,dose (000s),"4,969","6,907","3,816","3,345","2,459",913,"1,388","2,270","15,691","4,404","4,995","1,638","2,477","1,055"
border, C ,Benzodiazepines,dose (000s),"3,086",668,"2,981","6,118",,,,,,,,,0,
border, C ,GHB,kg,0,0,0,0,0,0,0,0,0,0,0,0,0,
border, C ,Temazepam,dose (000s),500,94,118,125,,,,,,,,,0,
