name,orderGenus,vore,conservation,sleep_total,sleep_rem,sleep_cycle,awake,brainwt,bodywt
Cheetah,"Carnivora,Acinonyx",carni,lc,12.1,NA,NA,11.9,NA,50
Owl monkey,"Primates,Aotus",omni,NA,17,1.8,NA,7,0.0155,0.48
Mountain beaver,"Rodentia,Aplodontia",herbi,nt,14.4,2.4,NA,9.6,NA,1.35
Greater short-tailed shrew,"Soricomorpha,Blarina",omni,lc,14.9,2.3,0.133333333,9.1,0.00029,0.019
Cow,"Artiodactyla,Bos",herbi,domesticated,4,0.7,0.666666667,20,0.423,600
Three-toed sloth,"Pilosa,Bradypus",herbi,NA,14.4,2.2,0.766666667,9.6,NA,3.85
Northern fur seal,"Carnivora,Callorhinus",carni,vu,8.7,1.4,0.383333333,15.3,NA,20.49
Vesper mouse,"Rodentia,Calomys",NA,NA,7,NA,NA,17,NA,0.045
Dog,"Carnivora,Canis",carni,domesticated,10.1,2.9,0.333333333,13.9,0.07,14
Roe deer,"Artiodactyla,Capreolus",herbi,lc,3,NA,NA,21,0.0982,14.8
Goat,"Artiodactyla,Capri",herbi,lc,5.3,0.6,NA,18.7,0.115,33.5
Guinea pig,"Rodentia,Cavis",herbi,domesticated,9.4,0.8,0.216666667,14.6,0.0055,0.728
Grivet,"Primates,Cercopithecus",omni,lc,10,0.7,NA,14,NA,4.75
Chinchilla,"Rodentia,Chinchilla",herbi,domesticated,12.5,1.5,0.116666667,11.5,0.0064,0.42
Star-nosed mole,"Soricomorpha,Condylura",omni,lc,10.3,2.2,NA,13.7,0.001,0.06
African giant pouched rat,"Rodentia,Cricetomys",omni,NA,8.3,2,NA,15.7,0.0066,1
Lesser short-tailed shrew,"Soricomorpha,Cryptotis",omni,lc,9.1,1.4,0.15,14.9,0.00014,0.005
Long-nosed armadillo,"Cingulata,Dasypus",carni,lc,17.4,3.1,0.383333333,6.6,0.0108,3.5
Tree hyrax,"Hyracoidea,Dendrohyrax",herbi,lc,5.3,0.5,NA,18.7,0.0123,2.95
North American Opossum,"Didelphimorphia,Didelphis",omni,lc,18,4.9,0.333333333,6,0.0063,1.7
Asian elephant,"Proboscidea,Elephas",herbi,en,3.9,NA,NA,20.1,4.603,2547
Big brown bat,"Chiroptera,Eptesicus",insecti,lc,19.7,3.9,0.116666667,4.3,3.00E-04,0.023
Horse,"Perissodactyla,Equus",herbi,domesticated,2.9,0.6,1,21.1,0.655,521
Donkey,"Perissodactyla,Equus",herbi,domesticated,3.1,0.4,NA,20.9,0.419,187
European hedgehog,"Erinaceomorpha,Erinaceus",omni,lc,10.1,3.5,0.283333333,13.9,0.0035,0.77
Patas monkey,"Primates,Erythrocebus",omni,lc,10.9,1.1,NA,13.1,0.115,10
Western american chipmunk,"Rodentia,Eutamias",herbi,NA,14.9,NA,NA,9.1,NA,0.071
Domestic cat,"Carnivora,Felis",carni,domesticated,12.5,3.2,0.416666667,11.5,0.0256,3.3
Galago,"Primates,Galago",omni,NA,9.8,1.1,0.55,14.2,0.005,0.2
Giraffe,"Artiodactyla,Giraffa",herbi,cd,1.9,0.4,NA,22.1,NA,899.995
Pilot whale,"Cetacea,Globicephalus",carni,cd,2.7,0.1,NA,21.35,NA,800
Gray seal,"Carnivora,Haliochoerus",carni,lc,6.2,1.5,NA,17.8,0.325,85
Gray hyrax,"Hyracoidea,Heterohyrax",herbi,lc,6.3,0.6,NA,17.7,0.01227,2.625
Human,"Primates,Homo",omni,NA,8,1.9,1.5,16,1.32,62
Mongoose lemur,"Primates,Lemur",herbi,vu,9.5,0.9,NA,14.5,NA,1.67
African elephant,"Proboscidea,Loxodonta",herbi,vu,3.3,NA,NA,20.7,5.712,6654
Thick-tailed opposum,"Didelphimorphia,Lutreolina",carni,lc,19.4,6.6,NA,4.6,NA,0.37
Macaque,"Primates,Macaca",omni,NA,10.1,1.2,0.75,13.9,0.179,6.8
Mongolian gerbil,"Rodentia,Meriones",herbi,lc,14.2,1.9,NA,9.8,NA,0.053
Golden hamster,"Rodentia,Mesocricetus",herbi,en,14.3,3.1,0.2,9.7,0.001,0.12
Vole ,"Rodentia,Microtus",herbi,NA,12.8,NA,NA,11.2,NA,0.035
House mouse,"Rodentia,Mus",herbi,nt,12.5,1.4,0.183333333,11.5,4.00E-04,0.022
Little brown bat,"Chiroptera,Myotis",insecti,NA,19.9,2,0.2,4.1,0.00025,0.01
Round-tailed muskrat,"Rodentia,Neofiber",herbi,nt,14.6,NA,NA,9.4,NA,0.266
Slow loris,"Primates,Nyctibeus",carni,NA,11,NA,NA,13,0.0125,1.4
Degu,"Rodentia,Octodon",herbi,lc,7.7,0.9,NA,16.3,NA,0.21
Northern grasshopper mouse,"Rodentia,Onychomys",carni,lc,14.5,NA,NA,9.5,NA,0.028
Rabbit,"Lagomorpha,Oryctolagus",herbi,domesticated,8.4,0.9,0.416666667,15.6,0.0121,2.5
Sheep,"Artiodactyla,Ovis",herbi,domesticated,3.8,0.6,NA,20.2,0.175,55.5
Chimpanzee,"Primates,Pan",omni,NA,9.7,1.4,1.416666667,14.3,0.44,52.2
Tiger,"Carnivora,Panthera",carni,en,15.8,NA,NA,8.2,NA,162.564
Jaguar,"Carnivora,Panthera",carni,nt,10.4,NA,NA,13.6,0.157,100
Lion,"Carnivora,Panthera",carni,vu,13.5,NA,NA,10.5,NA,161.499
Baboon,"Primates,Papio",omni,NA,9.4,1,0.666666667,14.6,0.18,25.235
Desert hedgehog,"Erinaceomorpha,Paraechinus",insecti,lc,10.3,2.7,NA,13.7,0.0024,0.55
Potto,"Primates,Perodicticus",omni,lc,11,NA,NA,13,NA,1.1
Deer mouse,"Rodentia,Peromyscus",omni,NA,11.5,NA,NA,12.5,NA,0.021
Phalanger,"Diprotodontia,Phalanger",herbi,NA,13.7,1.8,NA,10.3,0.0114,1.62
Caspian seal,"Carnivora,Phoca",carni,vu,3.5,0.4,NA,20.5,NA,86
Common porpoise,"Cetacea,Phocoena",carni,vu,5.6,NA,NA,18.45,NA,53.18
Potoroo,"Diprotodontia,Potorous",herbi,NA,11.1,1.5,NA,12.9,NA,1.1
Giant armadillo,"Cingulata,Priodontes",insecti,en,18.1,6.1,NA,5.9,0.081,60
Rock hyrax,"Hyracoidea,Procavia",herbi,lc,5.4,0.5,NA,18.6,0.021,3.6
Laboratory rat,"Rodentia,Rattus",herbi,lc,13,2.4,0.183333333,11,0.0019,0.32
African striped mouse,"Rodentia,Rhabdomys",omni,NA,8.7,NA,NA,15.3,NA,0.044
Squirrel monkey,"Primates,Saimiri",omni,NA,9.6,1.4,NA,14.4,0.02,0.743
Eastern american mole,"Soricomorpha,Scalopus",insecti,lc,8.4,2.1,0.166666667,15.6,0.0012,0.075
Cotton rat,"Rodentia,Sigmodon",herbi,NA,11.3,1.1,0.15,12.7,0.00118,0.148
Mole rat,"Rodentia,Spalax",herbi,NA,10.6,2.4,NA,13.4,0.003,0.122
Arctic ground squirrel,"Rodentia,Spermophilus",herbi,lc,16.6,NA,NA,7.4,0.0057,0.92
Thirteen-lined ground squirrel,"Rodentia,Spermophilus",herbi,lc,13.8,3.4,0.216666667,10.2,0.004,0.101
Golden-mantled ground squirrel,"Rodentia,Spermophilus",herbi,lc,15.9,3,NA,8.1,NA,0.205
Musk shrew,"Soricomorpha,Suncus",carni,NA,12.8,2,0.183333333,11.2,0.00033,0.048
Pig,"Artiodactyla,Sus",omni,domesticated,9.1,2.4,0.5,14.9,0.18,86.25
Short-nosed echidna,"Monotremata,Tachyglossus",insecti,NA,8.6,NA,NA,15.4,0.025,4.5
Eastern american chipmunk,"Rodentia,Tamias",herbi,NA,15.8,NA,NA,8.2,NA,0.112
