Area	Y2001	Y2002	Y2003	Y2004	Y2005	Y2006	Y2007	Y2008	Y2009	Y2010	Y2011	Y2012 Y2013
S01001044	987	987	987	968	962	933	946	935	954	960	932	920	910
S01003290	765	741	758	732	721	714	719	762	772	763	815	802	811
S01001621	764	779	771	739	740	735	716	728	714	698	672	658	665
S01003730	645	642	647	622	632	644	637	659	635	641	649	629	620
S01003237	1035	1042	1010	990	972	938	918	894	907	898	915	904	913
S01002487	522	511	518	530	534	540	513	508	521	505	527	523	535
S01004657	756	745	754	749	742	728	702	703	726	720	732	729	700
S01000993	896	898	936	918	909	894	897	881	862	841	856	841	809
S01002921	748	740	722	728	688	690	672	670	660	659	655	657	643
S01003207	811	792	761	753	759	790	772	778	764	792	813	835	789
S01004132	577	607	609	594	575	586	567	577	539	549	544	561	555
S01005462	959	948	936	961	1002	1009	1071	1053	1036	1072	1091	1096	1057
S01006396	598	615	590	586	575	584	585	578	576	591	595	603	621
S01002429	725	725	718	746	751	730	746	766	755	736	757	733	753
S01000893	728	743	717	707	686	710	686	661	636	639	637	623	632
S01004575	721	713	686	678	677	690	697	689	686	686	675	668	672
S01006105	708	713	715	734	753	730	735	832	905	941	986	1001	1014
S01003537	794	773	751	739	750	778	778	786	767	806	796	802	817
S01000807	778	761	783	794	810	791	799	774	776	774	767	761	798
S01005672	855	881	887	868	893	868	852	838	832	813	832	794	761
S01003576	909	854	808	854	848	884	863	826	821	839	834	812	891
S01005278	838	834	851	843	829	842	806	808	774	769	793	778	797
S01001412	947	941	927	928	898	900	915	888	867	874	889	846	832
S01000654	942	916	877	896	895	928	919	916	929	935	913	896	899
S01001724	791	791	793	816	796	797	794	800	816	807	794	798	790
S01000479	963	962	948	913	887	893	875	847	833	838	828	826	850
S01000938	847	832	809	803	786	800	784	795	784	787	793	783	793
S01002191	915	924	893	895	900	889	881	864	835	765	768	792	766
S01004344	767	760	745	761	784	770	767	777	773	765	734	736	726
S01005085	567	545	538	537	563	544	504	528	544	528	522	531	531
S01006343	736	723	776	879	929	1001	1018	1058	1093	1233	1231	1316	1320
S01000601	1065	1092	1081	1144	1167	1158	1142	1170	1181	1196	1209	1224	1205
S01002060	739	735	727	670	673	666	708	691	723	742	755	756	720
S01001674	703	697	695	667	643	673	688	667	668	658	671	673	658
S01003863	747	728	730	721	720	723	686	688	680	676	693	676	670
S01004999	879	895	893	888	893	887	915	934	906	929	963	951	930
S01004064	693	690	703	704	692	682	660	638	633	631	631	631	614
S01005440	939	964	1025	1041	1034	1071	1125	1188	1270	1305	1373	1389	1422
S01001344	832	824	808	795	789	808	781	765	758	717	733	714	700
S01004222	549	561	569	587	607	596	561	592	578	581	571	553	561
S01001382	613	611	614	619	623	642	665	694	701	683	652	678	652
S01002608	600	606	611	588	587	599	583	586	580	578	544	588	676
S01001810	947	925	902	900	880	859	866	848	865	874	855	873	864
S01004375	745	712	728	725	705	695	655	644	637	609	621	606	604
S01000044	946	956	926	919	926	950	967	966	955	995	985	1013	1001
S01003028	763	783	767	779	815	836	801	774	763	763	739	724	760
S01000701	913	897	921	898	886	911	911	934	974	1029	1023	984	1005
S01005515	589	597	580	593	596	618	593	591	579	580	579	591	604
S01004759	610	645	617	600	597	588	596	578	577	569	570	553	549
S01004034	792	776	765	750	742	746	728	725	743	727	739	717	738
S01004314	766	780	764	804	839	806	812	799	783	775	768	779	767
S01005545	845	874	919	1030	1102	1159	1209	1198	1235	1237	1223	1211	1230
S01002399	1022	1015	990	988	973	944	955	941	959	967	973	1000	971
S01002019	802	821	744	741	759	779	797	765	778	802	820	776	748
S01002728	854	843	833	876	878	892	905	952	939	938	940	935	933
S01001283	489	487	507	508	493	507	507	522	526	523	520	519	522
